,VideoID,PersonID,SessionNumber,Weight,SetNumber,CameraID,Filename,AverageSpeeds
0,08,02,01,90,03,A,IMG_08_01_02_03_90_A.MOV,"[0.35188788461538456, 0.27286648351648346, 0.23932117983367984, 0.2459689903846154, 0.18962915302782324]"
1,05,02,01,90,01,A,IMG_05_01_02_01_90_A.MOV,"[0.3452983418367347, 0.2969528822055137, 0.2747082653061224, 0.23694319327731092, 0.20073080808080807]"
2,10,02,01,90,04,A,IMG_10_01_02_04_90_A.MOV,"[0.35490561648388164, 0.35910319917440664, 0.2965784313725489, 0.2803956486704271, 0.27740136459989395, 0.2075951557093426]"
3,09,01,01,90,03,A,IMG_09_01_01_03_90_A.MOV,"[0.45034218362282885, 0.4362689903846154, 0.41955244755244764, 0.41605617715617715, 0.3922815384615385, 0.3475729807692308, 0.2984750836120401]"
4,11,01,01,90,04,A,IMG_11_01_01_04_90_A.MOV,"[0.5331535104364327, 0.48092076124567473, 0.4318453560371517, 0.4755826890756302, 0.3166141426783479, 0.342676726342711, 0.3541845268542199, 0.33329999999999993, 0.3044678200692041, 0.2461292307692307, 0.21846554621848738, 0.11678286445012787]"
5,04,01,01,80,01,A,IMG_04_01_01_01_80_A.MOV,"[0.5871956367924529, 0.5716314150943397, 0.6261061910377358, 0.5627375741239893]"
6,06,01,01,90,02,A,IMG_06_01_01_02_90_A.MOV,"[0.46004874213836483, 0.46383617119190057, 0.4652166359871146, 0.41137850897376904, 0.4362268752876208, 0.3660072327044025, 0.33959433962264146]"
